Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,2184.51,безналичный,Минск,Беларусбанк-TPQE-168,05-04-2005,16:54:13,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1798.7,наличный,Минск,Белинвестбанк-OJVE-904,06-03-2012,16:37:17,успешно,нет,0.0
юр. лицо,получение средств,1199.38,наличный,Минск,МаксБанк-BNSD-084,07-11-2018,01:49:06,успешно,нет,0.0
физ. лицо,списание средств,4813.2,наличный,Минск,МаксБанк-VNMB-584,26-09-2010,12:35:14,успешно,да,189.47
физ. лицо,получение средств,2559.83,безналичный,Минск,Беларусбанк-ABPJ-743,19-03-2005,18:53:43,успешно,нет,0.0
физ. лицо,списание средств,2615.47,наличный,Минск,Белинвестбанк-DPOX-030,18-05-2015,02:46:00,недостаточно средств,да,173.17
юр. лицо,получение средств,359.55,наличный,Минск,Белинвестбанк-EZLP-909,12-11-2007,09:54:17,успешно,нет,0.0
физ. лицо,списание средств,1742.36,безналичный,Минск,Беларусбанк-XETL-475,30-04-2011,01:34:15,успешно,да,136.33
юр. лицо,списание средств,38.11,наличный,Минск,МаксБанк-YTJB-114,29-10-2018,03:32:30,успешно,нет,0.0
юр. лицо,получение средств,422.41,безналичный,Минск,Приорбанк-PFSR-624,18-01-2021,21:00:46,успешно,нет,0.0
физ. лицо,списание средств,4467.4,наличный,Минск,Приорбанк-UQVF-597,01-05-2007,13:38:41,успешно,да,147.08
физ. лицо,списание средств,4558.53,наличный,Минск,Белинвестбанк-ODTL-222,15-01-2001,08:58:32,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4620.25,наличный,Минск,МаксБанк-OYQK-379,05-10-2001,19:38:56,успешно,нет,0.0
юр. лицо,получение средств,2674.18,наличный,Минск,БелАгропромбанк-SYKN-140,24-03-2018,07:17:43,успешно,нет,0.0
физ. лицо,списание средств,533.98,безналичный,Минск,Приорбанк-QQVI-265,15-08-2007,20:16:08,успешно,да,41.18
юр. лицо,списание средств,477.92,наличный,Минск,Беларусбанк-GTFM-213,19-07-2012,15:27:10,недостаточно средств,да,37.18
физ. лицо,списание средств,2536.36,безналичный,Минск,МаксБанк-SAKU-979,12-04-2019,09:26:50,недостаточно средств,нет,0.0
физ. лицо,получение средств,1224.1,безналичный,Минск,Приорбанк-RXRS-517,22-04-2018,08:04:51,успешно,нет,0.0
физ. лицо,получение средств,3939.08,наличный,Минск,Приорбанк-ZDAU-982,29-03-2011,15:28:23,успешно,нет,0.0
юр. лицо,списание средств,3290.12,безналичный,Минск,Белинвестбанк-CVNN-099,29-12-2009,09:03:55,недостаточно средств,да,123.54
юр. лицо,получение средств,1382.83,безналичный,Минск,Белинвестбанк-XGNB-970,11-03-2014,04:50:46,успешно,нет,0.0
физ. лицо,получение средств,4167.49,безналичный,Минск,Белинвестбанк-WGVI-762,16-03-2001,10:17:34,успешно,нет,0.0
физ. лицо,получение средств,4485.46,безналичный,Минск,Приорбанк-UVNN-158,05-09-2023,13:47:11,успешно,нет,0.0
физ. лицо,получение средств,2452.87,наличный,Минск,БелАгропромбанк-WWCM-892,17-07-2007,06:31:31,успешно,нет,0.0
юр. лицо,списание средств,3334.57,безналичный,Минск,БелАгропромбанк-WMGN-541,10-12-2010,18:02:25,недостаточно средств,нет,0.0
физ. лицо,списание средств,924.39,безналичный,Минск,Приорбанк-OEIE-263,18-12-2010,20:07:28,успешно,да,36.84
физ. лицо,списание средств,236.13,наличный,Минск,МаксБанк-VPLO-190,26-08-2012,09:37:07,недостаточно средств,нет,0.0
физ. лицо,списание средств,4060.59,безналичный,Минск,Белинвестбанк-LYHH-840,28-09-2011,00:45:55,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3746.32,безналичный,Минск,Приорбанк-GIAW-845,31-03-2013,04:41:56,успешно,нет,0.0
юр. лицо,списание средств,1141.7,наличный,Минск,Белинвестбанк-FWFT-353,14-09-2015,00:50:41,недостаточно средств,да,46.04
юр. лицо,получение средств,4276.1,безналичный,Минск,Беларусбанк-RLII-756,06-01-2004,17:40:58,успешно,нет,0.0
юр. лицо,получение средств,4035.83,безналичный,Минск,Белинвестбанк-GPAT-159,10-08-2019,07:57:20,успешно,нет,0.0
физ. лицо,получение средств,2839.88,безналичный,Минск,МаксБанк-VALC-310,02-12-2011,21:04:35,успешно,нет,0.0
физ. лицо,списание средств,1743.16,наличный,Минск,Беларусбанк-DDQH-077,25-09-2006,20:41:24,успешно,нет,0.0
юр. лицо,получение средств,4513.5,наличный,Минск,Белинвестбанк-ZIFZ-986,05-03-2000,05:15:42,успешно,нет,0.0
физ. лицо,получение средств,2446.4,безналичный,Минск,Белинвестбанк-QKZK-616,08-07-2003,04:38:59,успешно,нет,0.0
физ. лицо,получение средств,2152.49,наличный,Минск,Белинвестбанк-YFKR-842,21-02-2007,06:23:46,успешно,нет,0.0
физ. лицо,получение средств,3643.95,наличный,Минск,Приорбанк-SDWB-182,24-10-2003,10:32:39,успешно,нет,0.0
физ. лицо,получение средств,597.1,наличный,Минск,МаксБанк-TXHW-331,27-09-2002,02:52:57,успешно,нет,0.0
юр. лицо,списание средств,298.45,наличный,Минск,Беларусбанк-TNYI-710,11-05-2016,06:25:56,успешно,да,18.0
физ. лицо,получение средств,1841.95,безналичный,Минск,Приорбанк-VKVT-324,17-05-2007,05:52:00,успешно,нет,0.0
юр. лицо,списание средств,1919.6,безналичный,Минск,Белинвестбанк-CUZD-456,23-10-2007,22:02:32,успешно,нет,0.0
юр. лицо,списание средств,4632.14,безналичный,Минск,БелАгропромбанк-CMOS-586,14-09-2003,08:52:53,успешно,да,256.32
физ. лицо,списание средств,4231.6,безналичный,Минск,Белинвестбанк-CIPX-784,24-03-2017,07:54:03,успешно,нет,0.0
физ. лицо,получение средств,3449.4,наличный,Минск,Беларусбанк-ERTP-364,14-10-2022,01:25:54,успешно,нет,0.0
физ. лицо,списание средств,29.83,безналичный,Минск,Беларусбанк-IAVV-991,03-03-2017,18:13:46,недостаточно средств,нет,0.0
физ. лицо,списание средств,4146.06,безналичный,Минск,Белинвестбанк-LUQS-304,16-02-2012,16:22:55,неправильный ввод пин-кода,да,256.87
юр. лицо,списание средств,911.28,безналичный,Минск,МаксБанк-FYFD-970,16-07-2017,13:10:46,недостаточно средств,да,10.54
юр. лицо,получение средств,3476.69,наличный,Минск,МаксБанк-GSUA-707,22-04-2012,04:51:45,успешно,нет,0.0
юр. лицо,списание средств,1370.04,безналичный,Минск,Беларусбанк-NZER-820,28-04-2001,08:50:58,успешно,да,87.61
физ. лицо,списание средств,2791.48,безналичный,Минск,Приорбанк-HDEV-651,22-03-2005,06:33:30,неправильный ввод пин-кода,да,198.26
юр. лицо,получение средств,2678.13,безналичный,Минск,Приорбанк-IZHZ-932,17-09-2015,21:42:24,успешно,нет,0.0
физ. лицо,списание средств,2845.92,наличный,Минск,Приорбанк-GQNK-908,08-06-2024,06:03:52,неправильный ввод пин-кода,да,80.37
физ. лицо,получение средств,4812.58,безналичный,Минск,МаксБанк-HTZA-329,07-09-2021,10:33:05,успешно,нет,0.0
юр. лицо,получение средств,1572.04,наличный,Минск,Приорбанк-RKUY-236,07-12-2021,11:46:42,успешно,нет,0.0
физ. лицо,списание средств,90.49,безналичный,Минск,БелАгропромбанк-NKZV-736,29-05-2015,02:45:20,недостаточно средств,да,4.39
физ. лицо,получение средств,1372.35,наличный,Минск,Беларусбанк-RZBI-664,01-07-2015,10:42:27,успешно,нет,0.0
физ. лицо,получение средств,466.35,безналичный,Минск,БелАгропромбанк-ELCM-129,18-12-2008,16:44:52,успешно,нет,0.0
юр. лицо,получение средств,2086.27,наличный,Минск,МаксБанк-KYKQ-659,20-04-2002,18:25:27,успешно,нет,0.0
физ. лицо,получение средств,2047.27,наличный,Минск,МаксБанк-VBKV-529,27-05-2001,13:48:03,успешно,нет,0.0
физ. лицо,списание средств,3862.25,безналичный,Минск,Беларусбанк-MTLZ-235,02-03-2016,16:26:42,недостаточно средств,нет,0.0
физ. лицо,получение средств,3487.31,наличный,Минск,МаксБанк-KVQH-910,24-04-2024,18:27:10,успешно,нет,0.0
юр. лицо,получение средств,4408.38,безналичный,Минск,БелАгропромбанк-DQPH-553,01-07-2016,09:36:00,успешно,нет,0.0
юр. лицо,получение средств,3608.68,наличный,Минск,Белинвестбанк-FYWB-987,03-05-2019,17:21:47,успешно,нет,0.0
юр. лицо,получение средств,2024.8,наличный,Минск,Приорбанк-PHLC-716,30-01-2018,04:39:20,успешно,нет,0.0
физ. лицо,списание средств,2304.64,наличный,Минск,МаксБанк-URIO-494,18-12-2023,14:05:58,недостаточно средств,нет,0.0
физ. лицо,получение средств,1397.85,безналичный,Минск,Приорбанк-ZZRH-271,22-03-2008,02:05:31,успешно,нет,0.0
физ. лицо,получение средств,2326.48,безналичный,Минск,БелАгропромбанк-NENM-548,18-08-2014,12:32:46,успешно,нет,0.0
физ. лицо,получение средств,4180.57,наличный,Минск,БелАгропромбанк-AHLK-035,03-07-2023,21:39:31,успешно,нет,0.0
юр. лицо,получение средств,3587.23,безналичный,Минск,Приорбанк-EGWD-136,12-04-2024,23:07:46,успешно,нет,0.0
юр. лицо,списание средств,527.28,наличный,Минск,Белинвестбанк-RFEU-438,27-03-2014,09:46:01,недостаточно средств,нет,0.0
юр. лицо,получение средств,4645.25,безналичный,Минск,БелАгропромбанк-FZTX-738,27-06-2010,22:32:30,успешно,нет,0.0
юр. лицо,списание средств,1448.0,безналичный,Минск,Белинвестбанк-UTSW-629,25-11-2016,05:04:14,недостаточно средств,нет,0.0
юр. лицо,списание средств,2513.02,наличный,Минск,БелАгропромбанк-KHQI-571,01-11-2000,19:32:06,недостаточно средств,да,244.5
юр. лицо,списание средств,2652.31,безналичный,Минск,БелАгропромбанк-ZNJK-616,18-07-2021,20:27:43,неправильный ввод пин-кода,да,138.36
физ. лицо,получение средств,4898.73,наличный,Минск,БелАгропромбанк-FGXE-049,30-10-2004,09:03:28,успешно,нет,0.0
физ. лицо,получение средств,292.19,наличный,Минск,Приорбанк-QPST-579,29-06-2018,06:51:38,успешно,нет,0.0
физ. лицо,получение средств,1230.2,наличный,Минск,МаксБанк-AQEE-950,25-07-2005,09:56:31,успешно,нет,0.0
физ. лицо,списание средств,2632.41,наличный,Минск,Приорбанк-XYHJ-137,29-05-2019,17:24:12,недостаточно средств,нет,0.0
юр. лицо,получение средств,3150.97,безналичный,Минск,Белинвестбанк-QJCF-941,22-05-2022,20:49:23,успешно,нет,0.0
юр. лицо,получение средств,1045.86,безналичный,Минск,Беларусбанк-MOOR-312,27-06-2010,06:25:33,успешно,нет,0.0
юр. лицо,получение средств,1629.08,безналичный,Минск,Белинвестбанк-DGCJ-769,21-06-2009,04:21:30,успешно,нет,0.0
физ. лицо,получение средств,1011.83,наличный,Минск,МаксБанк-JVDN-616,03-12-2019,00:25:55,успешно,нет,0.0
юр. лицо,списание средств,3558.67,наличный,Минск,БелАгропромбанк-NSDM-230,03-01-2010,07:01:46,успешно,нет,0.0
физ. лицо,списание средств,2622.28,безналичный,Минск,Приорбанк-JCDT-911,20-09-2004,06:09:53,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4826.79,наличный,Минск,Приорбанк-ZMPJ-428,14-09-2015,11:44:54,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,675.55,безналичный,Минск,Приорбанк-JNHL-107,13-12-2009,23:34:57,успешно,нет,0.0
физ. лицо,списание средств,1847.05,безналичный,Минск,МаксБанк-TZLY-817,17-07-2014,19:28:23,успешно,да,57.95
юр. лицо,получение средств,794.06,безналичный,Минск,Приорбанк-XCUN-373,25-01-2014,17:18:50,успешно,нет,0.0
физ. лицо,получение средств,2658.61,наличный,Минск,МаксБанк-CSDS-652,12-06-2012,20:29:44,успешно,нет,0.0
физ. лицо,списание средств,2716.45,наличный,Минск,Приорбанк-XKLC-343,08-07-2008,21:28:27,неправильный ввод пин-кода,да,140.9
физ. лицо,получение средств,3973.05,безналичный,Минск,МаксБанк-LNPN-896,24-05-2001,03:06:14,успешно,нет,0.0
физ. лицо,списание средств,1489.38,наличный,Минск,Беларусбанк-GPGU-405,06-06-2010,15:27:25,недостаточно средств,да,44.62
физ. лицо,получение средств,1802.62,наличный,Минск,МаксБанк-XQAG-051,01-10-2005,03:32:12,успешно,нет,0.0
физ. лицо,получение средств,53.8,безналичный,Минск,МаксБанк-UXQV-013,15-06-2002,06:26:04,успешно,нет,0.0
физ. лицо,списание средств,1371.5,наличный,Минск,Беларусбанк-NDHA-104,16-06-2007,09:17:34,недостаточно средств,да,31.42
юр. лицо,списание средств,3951.25,наличный,Минск,Белинвестбанк-STXZ-950,20-12-2000,09:12:42,недостаточно средств,нет,0.0
юр. лицо,списание средств,835.98,наличный,Минск,Беларусбанк-HEKP-631,26-09-2003,20:57:52,успешно,нет,0.0
физ. лицо,получение средств,260.95,наличный,Минск,Белинвестбанк-HTLH-603,15-03-2010,23:22:13,успешно,нет,0.0
юр. лицо,списание средств,4429.04,наличный,Минск,Белинвестбанк-DPZJ-525,10-06-2000,13:21:23,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4241.23,наличный,Минск,МаксБанк-BXXE-860,13-07-2015,18:16:25,успешно,нет,0.0
юр. лицо,списание средств,4688.88,безналичный,Минск,Беларусбанк-ZXRM-071,04-10-2015,02:44:28,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2284.23,безналичный,Минск,БелАгропромбанк-NZJT-959,27-06-2010,18:32:57,успешно,нет,0.0
физ. лицо,списание средств,781.59,безналичный,Минск,Приорбанк-DTWO-714,25-08-2023,11:16:41,недостаточно средств,нет,0.0
юр. лицо,получение средств,3689.13,безналичный,Минск,Белинвестбанк-AQNS-222,12-07-2016,15:01:41,успешно,нет,0.0
юр. лицо,списание средств,2540.87,безналичный,Минск,Приорбанк-UOHZ-998,20-05-2009,01:31:02,успешно,нет,0.0
физ. лицо,получение средств,3267.59,безналичный,Минск,Приорбанк-HEDZ-146,23-10-2021,00:55:09,успешно,нет,0.0
юр. лицо,списание средств,3497.11,наличный,Минск,МаксБанк-BXSL-963,20-01-2020,19:40:21,недостаточно средств,нет,0.0
физ. лицо,списание средств,2787.12,безналичный,Минск,БелАгропромбанк-UIVG-226,19-03-2011,22:54:28,успешно,да,118.34
юр. лицо,получение средств,249.46,наличный,Минск,МаксБанк-QSIZ-206,07-12-2016,21:50:17,успешно,нет,0.0
физ. лицо,получение средств,4906.52,наличный,Минск,Белинвестбанк-VSMQ-335,27-10-2004,20:31:49,успешно,нет,0.0
юр. лицо,получение средств,1122.45,безналичный,Минск,Приорбанк-VZGS-583,26-10-2002,08:28:41,успешно,нет,0.0
физ. лицо,списание средств,418.93,безналичный,Минск,Приорбанк-FAIN-255,12-03-2006,18:32:46,недостаточно средств,нет,0.0
юр. лицо,списание средств,2795.45,безналичный,Минск,Белинвестбанк-CSZZ-153,28-05-2007,03:33:59,успешно,нет,0.0
физ. лицо,списание средств,1406.91,безналичный,Минск,Белинвестбанк-XDEG-465,25-06-2006,05:21:04,недостаточно средств,да,79.83
юр. лицо,получение средств,510.64,наличный,Минск,Беларусбанк-DQNK-390,21-03-2010,20:29:28,успешно,нет,0.0
юр. лицо,получение средств,2752.65,наличный,Минск,МаксБанк-PRAN-772,31-07-2022,22:48:48,успешно,нет,0.0
физ. лицо,получение средств,14.79,безналичный,Минск,Беларусбанк-VBWT-252,30-11-2009,17:47:12,успешно,нет,0.0
физ. лицо,получение средств,76.41,наличный,Минск,Белинвестбанк-DWAF-067,03-04-2014,03:48:45,успешно,нет,0.0
физ. лицо,списание средств,2177.9,безналичный,Минск,БелАгропромбанк-POXI-670,19-04-2014,12:41:41,недостаточно средств,да,57.19
юр. лицо,получение средств,1051.79,безналичный,Минск,Беларусбанк-QTLM-607,07-06-2022,05:08:08,успешно,нет,0.0
физ. лицо,списание средств,2444.42,наличный,Минск,Приорбанк-FBVS-192,10-09-2001,15:18:16,недостаточно средств,да,147.06
физ. лицо,списание средств,2022.42,наличный,Минск,БелАгропромбанк-VZUS-613,25-03-2006,17:05:38,успешно,нет,0.0
юр. лицо,получение средств,3867.33,безналичный,Минск,Приорбанк-AQWC-516,06-06-2007,01:09:28,успешно,нет,0.0
юр. лицо,получение средств,841.8,безналичный,Минск,Приорбанк-UCVP-920,06-11-2011,02:44:27,успешно,нет,0.0
физ. лицо,списание средств,2239.2,безналичный,Минск,Белинвестбанк-GUMM-156,22-05-2011,23:51:12,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1008.37,безналичный,Минск,Беларусбанк-YQPN-051,23-08-2014,01:31:13,недостаточно средств,да,18.22
юр. лицо,получение средств,3941.91,безналичный,Минск,Белинвестбанк-CTLB-692,15-03-2016,09:45:37,успешно,нет,0.0
физ. лицо,списание средств,1160.98,безналичный,Минск,Беларусбанк-MBJN-130,12-08-2003,18:23:19,успешно,да,103.19
юр. лицо,списание средств,2427.36,наличный,Минск,Беларусбанк-XMGR-709,10-04-2022,08:44:38,недостаточно средств,да,226.57
юр. лицо,получение средств,1615.66,безналичный,Минск,Белинвестбанк-VLXK-313,04-01-2017,20:10:49,успешно,нет,0.0
юр. лицо,списание средств,4555.81,наличный,Минск,Белинвестбанк-VNWJ-511,12-04-2022,09:47:44,успешно,да,401.72
физ. лицо,получение средств,4613.77,безналичный,Минск,БелАгропромбанк-IATB-922,08-12-2004,09:44:18,успешно,нет,0.0
физ. лицо,списание средств,4890.5,безналичный,Минск,Белинвестбанк-SAXR-830,23-04-2006,18:54:41,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2867.95,наличный,Минск,Беларусбанк-TSKG-027,27-11-2008,23:43:21,успешно,нет,0.0
юр. лицо,списание средств,3820.86,безналичный,Минск,МаксБанк-GEKL-842,03-08-2023,22:07:01,успешно,нет,0.0
юр. лицо,получение средств,752.06,наличный,Минск,БелАгропромбанк-XRIR-414,21-04-2018,00:05:07,успешно,нет,0.0
физ. лицо,списание средств,2576.19,наличный,Минск,Беларусбанк-VDCV-792,24-04-2018,06:54:16,недостаточно средств,нет,0.0
юр. лицо,получение средств,2528.92,наличный,Минск,Приорбанк-TFUU-094,17-03-2023,05:34:47,успешно,нет,0.0
физ. лицо,списание средств,2393.95,наличный,Минск,МаксБанк-YIUP-484,07-04-2010,17:22:22,недостаточно средств,да,56.01
юр. лицо,получение средств,3018.3,безналичный,Минск,БелАгропромбанк-LNCN-679,12-04-2011,14:38:18,успешно,нет,0.0
юр. лицо,получение средств,1668.76,безналичный,Минск,БелАгропромбанк-RKEQ-366,07-12-2006,20:48:36,успешно,нет,0.0
физ. лицо,получение средств,2348.3,наличный,Минск,Беларусбанк-GUPZ-870,18-03-2009,15:43:09,успешно,нет,0.0
физ. лицо,списание средств,3175.04,безналичный,Минск,МаксБанк-TFMR-837,14-11-2000,12:04:16,недостаточно средств,да,228.45
физ. лицо,списание средств,881.71,наличный,Минск,МаксБанк-NANN-219,14-04-2022,07:25:46,успешно,нет,0.0
юр. лицо,списание средств,3518.28,безналичный,Минск,Беларусбанк-QPRO-108,10-10-2001,00:05:11,успешно,да,93.09
юр. лицо,списание средств,65.4,наличный,Минск,Приорбанк-DWVW-688,08-11-2012,16:10:13,успешно,нет,0.0
физ. лицо,получение средств,2344.31,наличный,Минск,МаксБанк-HQEA-979,19-09-2017,16:47:04,успешно,нет,0.0
юр. лицо,списание средств,3774.52,безналичный,Минск,МаксБанк-MPTL-010,09-02-2008,21:21:01,недостаточно средств,да,329.17
юр. лицо,получение средств,167.94,безналичный,Минск,Беларусбанк-JDRV-281,14-08-2017,07:16:40,успешно,нет,0.0
юр. лицо,списание средств,368.88,безналичный,Минск,Приорбанк-NUPZ-973,29-04-2004,12:16:43,неправильный ввод пин-кода,да,6.46
физ. лицо,получение средств,1398.01,наличный,Минск,Беларусбанк-TNPA-388,08-04-2012,23:26:44,успешно,нет,0.0
юр. лицо,списание средств,1746.31,безналичный,Минск,Белинвестбанк-GSSF-053,02-03-2003,23:48:46,успешно,да,99.45
юр. лицо,получение средств,1181.02,безналичный,Минск,БелАгропромбанк-LCAQ-771,05-01-2002,03:42:15,успешно,нет,0.0
физ. лицо,получение средств,603.66,безналичный,Минск,МаксБанк-QPPC-954,18-07-2006,23:02:41,успешно,нет,0.0
физ. лицо,получение средств,666.55,наличный,Минск,Белинвестбанк-SRRL-763,13-07-2006,05:05:46,успешно,нет,0.0
физ. лицо,списание средств,4804.31,безналичный,Минск,БелАгропромбанк-LHBL-073,10-06-2008,07:53:39,недостаточно средств,да,314.58
физ. лицо,получение средств,1873.17,наличный,Минск,Приорбанк-OLDM-240,07-06-2014,11:25:41,успешно,нет,0.0
юр. лицо,списание средств,3363.15,наличный,Минск,Беларусбанк-SBRR-908,21-11-2014,14:29:44,недостаточно средств,да,256.79
физ. лицо,получение средств,2663.12,наличный,Минск,Беларусбанк-MNJJ-079,02-08-2018,14:45:19,успешно,нет,0.0
физ. лицо,получение средств,1898.5,безналичный,Минск,БелАгропромбанк-GEKH-718,25-10-2020,05:44:27,успешно,нет,0.0
юр. лицо,получение средств,861.42,наличный,Минск,Беларусбанк-LLRZ-196,02-05-2012,07:55:35,успешно,нет,0.0
физ. лицо,списание средств,2647.5,наличный,Минск,БелАгропромбанк-HUUT-665,17-09-2020,13:18:54,успешно,нет,0.0
юр. лицо,получение средств,3948.98,наличный,Минск,Белинвестбанк-AXVP-204,24-09-2015,23:18:14,успешно,нет,0.0
физ. лицо,получение средств,1577.67,безналичный,Минск,БелАгропромбанк-HHAO-108,05-10-2003,19:31:09,успешно,нет,0.0
физ. лицо,получение средств,1911.69,наличный,Минск,Беларусбанк-EJAE-963,07-03-2013,23:03:09,успешно,нет,0.0
физ. лицо,списание средств,2468.53,безналичный,Минск,Беларусбанк-MOIY-341,16-11-2009,15:32:26,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,933.25,безналичный,Минск,БелАгропромбанк-WSTJ-747,21-01-2024,10:25:12,недостаточно средств,да,47.58
физ. лицо,списание средств,2964.93,безналичный,Минск,МаксБанк-AAQF-350,09-07-2008,04:52:04,успешно,да,129.31
юр. лицо,получение средств,1090.91,наличный,Минск,БелАгропромбанк-QHCP-969,25-12-2000,02:55:44,успешно,нет,0.0
физ. лицо,получение средств,3525.07,наличный,Минск,МаксБанк-HFQE-707,18-09-2001,14:42:45,успешно,нет,0.0
юр. лицо,получение средств,232.59,наличный,Минск,Белинвестбанк-OHZB-903,31-01-2009,20:48:17,успешно,нет,0.0
юр. лицо,списание средств,3890.13,безналичный,Минск,МаксБанк-BUQF-322,16-07-2005,16:02:47,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2560.91,наличный,Минск,Белинвестбанк-FYBL-928,15-02-2023,12:50:53,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,118.42,безналичный,Минск,Беларусбанк-LNUC-364,18-04-2020,10:04:04,неправильный ввод пин-кода,да,6.12
физ. лицо,списание средств,53.25,безналичный,Минск,Белинвестбанк-EJNC-665,31-07-2019,02:30:10,недостаточно средств,нет,0.0
физ. лицо,списание средств,345.57,наличный,Минск,Беларусбанк-UZXK-139,11-01-2019,05:28:03,успешно,нет,0.0
юр. лицо,списание средств,4413.82,безналичный,Минск,Беларусбанк-FFTS-618,26-11-2005,23:04:21,успешно,да,94.81
физ. лицо,списание средств,1546.29,наличный,Минск,МаксБанк-MUSW-212,31-08-2023,16:23:00,неправильный ввод пин-кода,да,132.3
физ. лицо,списание средств,4429.9,безналичный,Минск,Белинвестбанк-UAHF-552,09-11-2009,04:04:34,недостаточно средств,нет,0.0
юр. лицо,получение средств,2185.17,наличный,Минск,МаксБанк-FOZJ-960,22-07-2004,05:47:02,успешно,нет,0.0
